Message,Priority,Tags
I live in Bahia de Banderas  Nayarit  Mexico and want to know if you service this area.  Your website doesn't allow me to look up service in my area.,0,Inquiry
can't get into my account. keep saying password is not right.,0,Account
I have good speeds most of the time ranging from 7 mps up to 30 mps.   I don't really see much difference in load times for web pages   between low and higher speeds Do I need to change settings etc or is this normal ?,0,Service
I am VERY displeased with your services. My internet goes out about 5 times when I am trying to just read my emails. I am quite dissatisfied with the poor quality of your service and wish to terminate business with your company. If I had known your service was so inferior  I NEVER would have applied for your service. Your representative misled me into believing I would be getting a quality product. I am ready to report your company to the BBB of NC to get rid of your services.,1,Account
I wanna know how many people using the same beam in my location because yesterday I was getting good speeds n today is kinda poor zip code 39159,0,Inquiry
Extremely Unsatisfied with Service  For Months now. I tried everything Costumer care advised me to do. Reboot / Reset   Modem  ComputeI am going to keep complaining until something is done about this.r   router . ECT.Nothing works. Technician was sent to my residence to test equipment and Nothing is wrong with it. So why am I only getting 0.60mbps and less?,1,Service
Good story about Sprint over on Gizmodo reminds me of a friend of mines marketing. https://gizmodo.com/sprint-still-fails-to-understand-what-unlimited-actua-1827555758,0,Praise
The moral of the story is  if you think Viasat is stealing your data then it is time to fix the toilet.,0,DNR
i received a new modem but never even opened the box i dont want it and want to cancel my membership i now have will i be billed for early cancelation ?,1,Account
So u mean to tell me that my beam is CONGESTED already? download speed is 0.29 as of 9:15PM and I have the 50mbps plan and I have used about 156GB of data! How can my beam be congested already? I havent even had viasat2 for a month My speed has been 68-72mbps around the clock until now  If you gonna deprioritize me do it to 10mbps or something not less than 1mbps this is BS! I cant believe my beam is congested! Im Hoping there is problems with the satellite or something and Hope its better tomorrow night! If not I have to deal with this till the 23rd,0,Service
"It's 1:00am and this is my very frustrating speed. It's not just peak hours that's the problem. It's almost ALL THE TIME. I'm not getting 25Mbps  but I sure am getting up to! So not worth the $120 a month. I have not even come close to my ""unlimited"" data usage. Please do something about this congestion",1,Service
If my bill is due today and I pay it monday will my internet service be interupted,1,Account
Currently I have dish TV and dishNET internet. I would like to switch my internet to Viasat. Can I keep my TV? They are completely seperate systems. Providers like hughesnet will not allow me to have dish TV even though its seperate and only allow Direct TV. Is Viasat the same or am I allowed to pick my own TV provider since they are seperate?,1,Technical
"I may be late to this party but between the first of April  2018 and June 24th reset of my data allowance  I was loosing 50GB of data in the two days following the reset.  I probably spent a total of over 35 hours on with Viasat trying to sort out the issues.  First  they said I couldn't be 'Losing data"" but I was.  I took my computer down to the basics of four devices to try to isolate the source.  Viasat could 'see' the four devices and they 'saw' something else  but couldn't identify it.  They just As I'm sure this blog will be the end of it and I will never hear from another Viasat robot again. everyone says  IF there were another solution  I would have been long gone..left me to hang out and dry until I threatened not to pay them.  Whether that was the cause  the data stopped flowing out and I have my normal usage back.  No call  no explanation  no message. NOTHING!!  I want to know what happened!!  Viasat owes me that as well as three months charges for data that was stripped from my account.  You train your phone staff well.  I had reached ""Corporate Resolution"" by this point.  You can't find out the name of the president of the company or any other person who gives a damn.  ",1,Account
Every afternoon between 2  and 7 I loose my internet for anywhere from a few seconds to up to a few minutes. I have been on the phone with 4 techs this week. Everyone is telling me it's traffic. Anyone else experiencing this. One Tech said if I upgrade it would fix it - the upgrade of course is more money and less data. Any suggestions?,1,Account
hello to all of you. i need to nkow the measurements of the dish. thanks and excuse my english.,0,Technical
Is it just me or is there no port forwarding option on the VS2 modem? Can’t find it anywhere. And if it does support port forwarding it’s definitely an usual configuration.,1,Technical
trying to watch netflix and Samsung smart TV keeps buffering,0,Service
I plan on doing some rather extensive traveling around the US& Canada and my question is: Is there a way to travel with Exede that won't cost me through the nose. I am especially interested in using the Freedom Plan,1,Inquiry
"Misleading customers  why do it? I signed up for the 2year contract after being assured that xx would be my cost. I asked all the questions  regarding equipment lease  after care  service etc. Was assured that my cost would not change. The 1st issue was an additional charge at installation+ $35.00 for extra cable that the huge grizzly looking installer insisted that I pay in cash. Then the service drops off for no reason. At that point  most of the time  the device can't find the network. Of course it wouldn't do it when I call in about it. Today I get a notification that my price is going up $27.00 a month since a ""discount"" expired after 3 months. This ""discount was never disclosed to me. I called in and the attitude of the supervisor was basically...too bad.... take it or leave it. I'm certainly not a happy customer. They should have told me on the front end of the deal. Why not?",1,Account
"I'm primarily posting this in case a potential business customer comes here to find out what is going on. Our area is a Viasat 2 Large Beam area. If you go to Viasat.com and put in your zip code you will see several plans offered. This is an error. If I go to build an acct in the same zip it comes back with ""Plans are not currently available in your area."". After several calls and emails I found out that there CURRENTLY aren't any business plans available in large beam locations. ",1,Service
The installer came out today and upgraded my dish  he also had to move it a good 70-90 degrees from where it was originally pointing. He then installed my new modem which is beautiful. The modem comes with 802.11 AC MU MIMO which on default settings broadcast a 2.4 ghz SSID and a 5 ghz SSID. After installation and setup I have been receiving great speeds. The biggest question I had was how is latency. The latency seems exactly the same(590-650) as when I had the old dish and modem on Viasat-1. This was a great experience and a wonderful improvement. So far so good  I’m loving it.,0,Praise
I have good speeds most of the time ranging from 7 mps up to 30 mps.   I don't really see much difference in load times for web pages   between low and higher speeds Do I need to change settings etc or is this normal ?,1,Service
ViaSat should not do this to their customers. You can't claim that the system is congested to the point that you have to drop all customers who exceeded the data limit  while you still try to acquire more customers. Instead you should advertise a more realistic speed  that can be maintained at all times  at least 1 Mbps download and upload. I don't care if I can get data at 10-20 Mbps for a short period of time while eating up quickly the 25 GB. Most of the data in there aren't actually required and just a function of the completely bloated system where you visit a website and see 50 additional processes sending and receiving all kinds of data to place ads and observe the user's actions. I bet that 90 percent of those 25 GB data were just for numerous handshakes between a host of observation aps that I haven't been able to control or disable.,1,Service
I just upgraded to the new Unlimited Gold plan which came with the new (triangular) ViaSat WiFi Gateway modem/router. I also have the VOIP phone service. Everything (internet and phone) works fine until I put the gateway into bridge mode. As soon as I do that (and it reboots)  the phone service cuts off. When I turn off bridge mode on the gateway and reboot  the phone service comes back. I've done this 3 or 4 times now with the same result. I want to use bridge mode so that I can use my own router (pfSense)  but obviously also need phone service. Has anyone else experienced this? I've emailed ViaSat support  but no response yet. Thanks!,1,Service
I use the Pantheon hosting service (https://pantheon.io) to host some websites and in order to update the site it's required i connect via Git  SSH or SFTP which Pantheon opens on port 2222.  It seems like Viasat/Exede are blocking port 2222 and now I can't connect at all to my site. Is this true? I get a timeout error trying to access:,1,Service
For the past 2 months or so I have not been able to look up my available plans/upgrades when I log in to my account. It just shows a phone number to call in order to speak to an agent. When is this going to be fixed?,0,Service
I need my wifi password and have been trying to get it for 3 days. Please help i am a bit frazzled,0,Account
Yeah I've had viasat for less than 2 weeks and I can't believe how awful it is. Didn't realize that I'd be paying for three days of internet. So my question is how much is it going to cost to get out of this lions trap of a two year contract?,1,Account
I already get poor service from my Verizon LTE/hotspot of late. Depending where I'm at inside  I pull between 0.03mbps to about 11mbps in a really good spot. But  often I'm well under 5mbps. I can't handle signing up to something on a 2 year contract and getting the same/worse service for that kind of price range!?,1,Service
